course_id;course_name;instructor;room;credits
d5758966-2be9-4e58-903f-564fb21e3901;Course_1;Instructor_1;Room_1;1
3652f36a-ffac-4b88-b381-ae774d4b5231;Course_2;Instructor_2;Room_2;4
a019ba9e-f6b5-457c-b9a0-eb8107223741;Course_3;Instructor_3;Room_3;5
2cb1ba44-f576-4250-8583-c19a6de9aba7;Course_4;Instructor_4;Room_4;3
b460f4f7-5bc8-45a9-922f-45757c42ff3e;Course_5;Instructor_5;Room_5;4
1f8e348f-5dcb-4caf-88fc-455544916cc4;Course_6;Instructor_6;Room_6;1
383273db-c712-4342-b769-fe0000b4503e;Course_7;Instructor_7;Room_7;3
9510a9bd-8e94-484f-a4dd-ba5fdced35c1;Course_8;Instructor_8;Room_8;3
6afc321d-0c06-46fd-b3cd-9602fdcf6d7d;Course_9;Instructor_9;Room_9;1
e6378f4c-05f5-431c-8cd5-e55943194b2f;Course_10;Instructor_10;Room_10;5
0cf91f8d-27fa-46aa-b27a-85efa895d49c;Course_11;Instructor_11;Room_11;4
6faba251-01b0-415f-ade3-c13cc8f9a437;Course_12;Instructor_12;Room_12;5
a85031e4-ea32-45a0-940e-7169e48443bf;Course_13;Instructor_13;Room_13;5
4df674f5-5416-4e35-b593-4095afe1c499;Course_14;Instructor_14;Room_14;2
d4776361-fdbe-41e7-9066-79ac81db0335;Course_15;Instructor_15;Room_15;4
0523f458-3654-4a0d-8401-0dc90777b0c7;Course_16;Instructor_16;Room_16;1
0f45f843-f29d-4e94-a371-f8f9af43f83c;Course_17;Instructor_17;Room_17;4
6125ad86-48f7-4f3f-bb2d-90bafc9d586a;Course_18;Instructor_18;Room_18;4
da8f2e7e-6bd2-4626-887a-ea428d408cf5;Course_19;Instructor_19;Room_19;4
ca511c18-04ce-4a12-892c-12ffe1b97310;Course_20;Instructor_20;Room_20;4
dba16fc8-7eb8-4011-8e53-bd9587245900;Course_21;Instructor_21;Room_21;1
5d631d5a-6b3b-46cb-b04d-f35fa215b779;Course_22;Instructor_22;Room_22;1
f939d0b1-ab79-41bf-858f-83b747038d9d;Course_23;Instructor_23;Room_23;1
b8db13b4-c04c-4d58-af09-242e480b6fce;Course_24;Instructor_24;Room_24;1
9c73879e-c61e-4199-b7b1-ca124d07a546;Course_25;Instructor_25;Room_25;5
