course_id;course_name;instructor;room;credits
d5758966-2be9-4e58-903f-564fb21e3901;Updated_Course_1;Updated_Instructor_1;Updated_Room_1;1
3652f36a-ffac-4b88-b381-ae774d4b5231;Updated_Course_2;Updated_Instructor_2;Updated_Room_2;2
a019ba9e-f6b5-457c-b9a0-eb8107223741;Updated_Course_3;Updated_Instructor_3;Updated_Room_3;4
2cb1ba44-f576-4250-8583-c19a6de9aba7;Updated_Course_4;Updated_Instructor_4;Updated_Room_4;2
b460f4f7-5bc8-45a9-922f-45757c42ff3e;Updated_Course_5;Updated_Instructor_5;Updated_Room_5;1
1f8e348f-5dcb-4caf-88fc-455544916cc4;Updated_Course_6;Updated_Instructor_6;Updated_Room_6;1
383273db-c712-4342-b769-fe0000b4503e;Updated_Course_7;Updated_Instructor_7;Updated_Room_7;2
9510a9bd-8e94-484f-a4dd-ba5fdced35c1;Updated_Course_8;Updated_Instructor_8;Updated_Room_8;1
6afc321d-0c06-46fd-b3cd-9602fdcf6d7d;Updated_Course_9;Updated_Instructor_9;Updated_Room_9;2
e6378f4c-05f5-431c-8cd5-e55943194b2f;Updated_Course_10;Updated_Instructor_10;Updated_Room_10;1
0cf91f8d-27fa-46aa-b27a-85efa895d49c;Updated_Course_11;Updated_Instructor_11;Updated_Room_11;4
6faba251-01b0-415f-ade3-c13cc8f9a437;Updated_Course_12;Updated_Instructor_12;Updated_Room_12;5
a85031e4-ea32-45a0-940e-7169e48443bf;Updated_Course_13;Updated_Instructor_13;Updated_Room_13;3
4df674f5-5416-4e35-b593-4095afe1c499;Updated_Course_14;Updated_Instructor_14;Updated_Room_14;2
d4776361-fdbe-41e7-9066-79ac81db0335;Updated_Course_15;Updated_Instructor_15;Updated_Room_15;3
0523f458-3654-4a0d-8401-0dc90777b0c7;Updated_Course_16;Updated_Instructor_16;Updated_Room_16;2
0f45f843-f29d-4e94-a371-f8f9af43f83c;Updated_Course_17;Updated_Instructor_17;Updated_Room_17;4
6125ad86-48f7-4f3f-bb2d-90bafc9d586a;Updated_Course_18;Updated_Instructor_18;Updated_Room_18;2
da8f2e7e-6bd2-4626-887a-ea428d408cf5;Updated_Course_19;Updated_Instructor_19;Updated_Room_19;1
ca511c18-04ce-4a12-892c-12ffe1b97310;Updated_Course_20;Updated_Instructor_20;Updated_Room_20;3
dba16fc8-7eb8-4011-8e53-bd9587245900;Updated_Course_21;Updated_Instructor_21;Updated_Room_21;5
5d631d5a-6b3b-46cb-b04d-f35fa215b779;Updated_Course_22;Updated_Instructor_22;Updated_Room_22;4
f939d0b1-ab79-41bf-858f-83b747038d9d;Updated_Course_23;Updated_Instructor_23;Updated_Room_23;4
b8db13b4-c04c-4d58-af09-242e480b6fce;Updated_Course_24;Updated_Instructor_24;Updated_Room_24;3
9c73879e-c61e-4199-b7b1-ca124d07a546;Updated_Course_25;Updated_Instructor_25;Updated_Room_25;2
daa94e59-6975-499a-8853-58765ac4cb85;Updated_Course_26;Updated_Instructor_26;Updated_Room_26;2
67ca2bc5-eb5b-4b12-b14f-acc04368c78a;Updated_Course_27;Updated_Instructor_27;Updated_Room_27;4
66ee2a53-3f87-46aa-82a4-781c21d51ea1;Updated_Course_28;Updated_Instructor_28;Updated_Room_28;1
4fcd41ad-158f-477b-98ca-8da9614d589e;Updated_Course_29;Updated_Instructor_29;Updated_Room_29;4
6f2f2464-af52-4ff8-94c2-cd041816e1b6;Updated_Course_30;Updated_Instructor_30;Updated_Room_30;1
